Date,Open,High,Low,Close,Adj Close,Volume
8/13/2020,10.57,10.58,10.45,10.5,10.5,859300
8/14/2020,10.5,10.56,10.48,10.5,10.5,235900
8/17/2020,10.5,10.65,10.5,10.57,10.57,382900
8/18/2020,10.6,10.6,10.44,10.49,10.49,533300
8/19/2020,10.55,10.59,10.4,10.48,10.48,488400
8/20/2020,10.53,10.53,10.35,10.39,10.39,226600
8/21/2020,10.5,10.5,10.35,10.5,10.5,180000
8/24/2020,10.5,10.59,10.36,10.59,10.59,593800
8/25/2020,10.55,10.55,10.4,10.55,10.55,512600
8/26/2020,10.58,10.65,10.45,10.45,10.45,500100
8/27/2020,10.55,10.55,10.36,10.42,10.42,504700
8/28/2020,10.5,10.5,10.36,10.43,10.43,129700
8/31/2020,10.5,10.52,10.4,10.5,10.5,1071100
9/1/2020,10.53,10.62,10.48,10.56,10.56,285400
9/2/2020,10.58,10.75,10.57,10.69,10.69,1404400
9/3/2020,10.75,10.84,10.55,10.72,10.72,537000
9/4/2020,10.84,11.12,10.65,10.95,10.95,1541400
9/8/2020,10.86,11.33,10.76,11.1,11.1,1498100
9/9/2020,10.88,11.14,10.85,11.1,11.1,495300
9/10/2020,11.12,11.35,10.9,11.2,11.2,1292000
9/11/2020,11.6,11.69,11.15,11.58,11.58,855100
9/14/2020,11.74,11.83,11.521,11.75,11.75,668600
9/15/2020,12.14,12.58,11.79,12.15,12.15,5531100
9/16/2020,12.16,12.52,12.01,12.2,12.2,2387300
9/17/2020,12,13.35,11.95,12.4,12.4,2133400
9/18/2020,12.51,12.74,12.25,12.56,12.56,922000
9/21/2020,12.71,12.78,11.7,11.93,11.93,1970900
9/22/2020,11.99,12.249,11.88,12,12,1336200
9/23/2020,12.18,12.2,11.5,11.66,11.66,1714200
9/24/2020,11.42,11.9,11.05,11.65,11.65,1071300
9/25/2020,11.59,11.99,11.55,11.98,11.98,688900
9/28/2020,12.14,12.4,11.88,12.4,12.4,972800
9/29/2020,12.5,13.17,12.31,13.14,13.14,1845300
9/30/2020,13.02,13.22,12.35,12.46,12.46,1387000
10/1/2020,12.78,12.94,12.4,12.94,12.94,771100
10/2/2020,12.33,13.04,12.33,12.93,12.93,1004700
10/5/2020,13.19,13.19,12.49,12.68,12.68,1209300
10/6/2020,11.28,11.79,10.7,10.97,10.97,27822300
10/7/2020,11.05,11.34,10.51,10.7,10.7,8075700
10/8/2020,10.76,10.8,10.52,10.6,10.6,5244300
10/9/2020,10.75,10.78,10.31,10.57,10.57,8507800
10/12/2020,10.75,10.77,10.61,10.68,10.68,3234900
10/13/2020,10.7,10.79,10.47,10.59,10.59,2289800
10/14/2020,10.68,10.68,10.345,10.52,10.52,3035300
10/15/2020,10.4,10.55,10.352,10.47,10.47,1751200
10/16/2020,10.65,11.005,10.57,10.68,10.68,4720800
10/19/2020,10.72,10.88,10.51,10.64,10.64,1402800
10/20/2020,10.58,10.594,10.25,10.35,10.35,3004700
10/21/2020,10.33,10.35,10.1,10.22,10.22,3893000
10/22/2020,10.24,10.285,10.09,10.15,10.15,6352700
